"BranchID","BranchName","DeptID","DeptName","CategoryID","CategoryName","Qty","NetSales","Cost","GM$","GM%","TranDate_DDMMYYYY"
531,Maxval-u Supermart - Ba,"64",Meat,"6401",Lamb,"36.6750","391.4403","330.7680","60.6723","15.4900","04/01/2022"
543,Maxval-u Supermart - Somosomo,"58",Food,"5850","6001","1.0000","5.5046","4.2600","1.2446","22.6100","04/01/2022"
521,Maxval-u Supermart - Hypermarket,"64",Meat,"6401",Lamb,"53.3300","615.2294","519.8700","95.3594","15.4900","04/01/2022"
537,Maxval-u Supermart - Rakiraki,"63",Frozen,"6304",Icecream & Deserts,"39.0000","139.2663","127.3560","11.9103","8.5500","07/01/2022"
527,Maxval-u Supermart - Navua,"58",Food,"5825",Baking Products,"31.0000","73.5321","53.0090","20.5231","27.9100","04/01/2022"
542,Maxval-u Supermart - Premium Savusavu,"61",Supermarket (Non-Food),"6106",Lighters,"18.0000","22.7981","12.8260","9.9721","43.7400","04/01/2022"
578,MH Levuka,"61",Supermarket (Non-Food),"6106",Lighters,"3.0000","7.8440","4.1700","3.6740","46.8300","01/01/2022"
578,MH Levuka,"61",Supermarket (Non-Food),"6106",Lighters,"141.0000","50.0001","34.4700","15.5301","31.0600","07/01/2022"
542,Maxval-u Supermart - Premium Savusavu,"61",Supermarket (Non-Food),"6110",Pooja Requirements,"1.0000","0.8165","0.6100","0.2065","25.2900","01/01/2022"
513,Maxval-u Nausori,"58",Food,"5850","6001","10.0000","30.1468","27.0320","3.1148","10.3300","02/01/2022"
524,Maxval-u Supermart - Namaka,"61",Supermarket (Non-Food),"6106",Lighters,"75.0000","29.6330","18.4500","11.1830","37.7300","06/01/2022"
551,MH  Superfresh,"62",Dairy,"6262",Dairy,"6.0000","42.6606","31.3800","11.2806","26.4400","04/01/2022"
512,Maxval-u Supermart - City Homemaker,"74",Bread Lovers,"7406",Quick Meals,"11.0000","29.9083","20.7870","9.1213","30.4900","01/01/2022"
561,Maxval-u Supermart - Naulu,"62",Dairy,"6205",Local & Imported Cultured Products,"85.0000","172.9541","144.3840","28.5701","16.5100","01/01/2022"
521,Maxval-u Supermart - Hypermarket,"58",Food,"5850","6001","36.0000","86.2569","75.0670","11.1899","12.9700","01/01/2022"
524,Maxval-u Supermart - Namaka,"58",Food,"5815",Mayonnaise,"6.0000","35.9633","27.9250","8.0383","22.3500","02/01/2022"
511,MHCC Level 2 Homemaker,"25",Homeware,"2508",Baking,"11.0000","38.0276","16.1080","21.9196","57.6400","04/01/2022"
524,Maxval-u Supermart - Namaka,"62",Dairy,"6205",Local & Imported Cultured Products,"52.0000","147.3393","129.4370","17.9023","12.1500","01/01/2022"
581,Maxval-u Supermart - Valelevu,"58",Food,"5825",Baking Products,"45.0000","96.6054","65.9000","30.7054","31.7800","01/01/2022"
523,Maxval-u Supermart - Sigatoka,"64",Meat,"6401",Lamb,"12.0400","166.4771","140.6730","25.8041","15.5000","04/01/2022"
514,MHCC Level 1 Supermarket,"63",Frozen,"6304",Icecream & Deserts,"109.0000","501.8807","467.2330","34.6477","6.9000","02/01/2022"
514,MHCC Level 1 Supermarket,"62",Dairy,"6205",Local & Imported Cultured Products,"87.0000","228.8532","201.8480","27.0052","11.8000","06/01/2022"
532,Maxval-u Supermart - Tavua,"61",Supermarket (Non-Food),"6106",Lighters,"72.0000","22.0642","13.8920","8.1722","37.0300","04/01/2022"
512,Maxval-u Supermart - City Homemaker,"68",Delicatessen,"6802",Luncheon,"9.0000","33.4863","28.2960","5.1903","15.4900","01/01/2022"
545,Maxval-u Supermart - Labasa Town,"64",Meat,"6401",Lamb,"50.4820","554.5688","468.6110","85.9578","15.4900","06/01/2022"
551,MH  Superfresh,"61",Supermarket (Non-Food),"6110",Pooja Requirements,"19.0000","33.7983","22.5220","11.2763","33.3600","05/01/2022"
517,Maxval-u Supermart - Flagstaff,"61",Supermarket (Non-Food),"6106",Lighters,"10.0000","2.4312","1.5700","0.8612","35.4200","02/01/2022"
531,Maxval-u Supermart - Ba,"25",Homeware,"2508",Baking,"1.0000","9.1284","4.5460","4.5824","50.1900","07/01/2022"
530,Maxval-u Nadi Lodhia,"69",Alcoholic Beverage,"6902",Local Spirits,"3.0000","182.5046","167.1080","15.3966","8.4300","07/01/2022"
551,MH  Superfresh,"74",Bread Lovers,"7474",Bakery,"55.0000","58.0275","40.3290","17.6985","30.5000","05/01/2022"
530,Maxval-u Nadi Lodhia,"58",Food,"5808",Dried Legumes,"40.0000","116.3210","101.7220","14.5990","12.5500","02/01/2022"
511,MHCC Level 2 Homemaker,"25",Homeware,"2507",Kitchen Gadgets,"6.0000","18.6238","12.7040","5.9198","31.7800","06/01/2022"
512,Maxval-u Supermart - City Homemaker,"58",Food,"5816",Salad Dressings,"28.0000","41.1009","22.9060","18.1949","44.2600","04/01/2022"
524,Maxval-u Supermart - Namaka,"61",Supermarket (Non-Food),"6108",Cooking Requirements,"1.0000","42.4220","39.4860","2.9360","6.9200","02/01/2022"
581,Maxval-u Supermart - Valelevu,"25",Homeware,"2507",Kitchen Gadgets,"7.0000","19.6331","12.9050","6.7281","34.2600","01/01/2022"
578,MH Levuka,"69",Alcoholic Beverage,"6901",Imported Spirits,"5.0000","81.0091","58.4050","22.6041","27.9000","02/01/2022"
530,Maxval-u Nadi Lodhia,"58",Food,"5808",Dried Legumes,"90.0000","221.1468","189.5580","31.5888","14.2800","01/01/2022"
524,Maxval-u Supermart - Namaka,"69",Alcoholic Beverage,"6901",Imported Spirits,"1.0000","11.8807","7.6570","4.2237","35.5500","05/01/2022"
524,Maxval-u Supermart - Namaka,"58",Food,"5827",Desserts,"12.0000","56.3303","36.8100","19.5203","34.6500","05/01/2022"
581,Maxval-u Supermart - Valelevu,"58",Food,"5808",Dried Legumes,"64.0000","136.5413","120.5530","15.9883","11.7000","04/01/2022"
561,Maxval-u Supermart - Naulu,"61",Supermarket (Non-Food),"6105",Electrical,"18.0000","47.8899","32.3750","15.5149","32.3900","07/01/2022"
514,MHCC Level 1 Supermarket,"74",Bread Lovers,"7474",Bakery,"58.0000","88.6698","61.6260","27.0438","30.4900","06/01/2022"
513,Maxval-u Nausori,"61",Supermarket (Non-Food),"6108",Cooking Requirements,"5.0000","212.1101","205.1500","6.9601","3.2800","01/01/2022"
581,Maxval-u Supermart - Valelevu,"58",Food,"5827",Desserts,"34.0000","123.2111","76.7960","46.4151","37.6700","01/01/2022"
527,Maxval-u Supermart - Navua,"59",Media News,"5901",Daily Paper,"5.0000","4.9541","4.5020","0.4521","9.1200","06/01/2022"
551,MH  Superfresh,"61",Supermarket (Non-Food),"6108",Cooking Requirements,"32.0000","1171.9082","1089.9930","81.9152","6.9800","04/01/2022"
527,Maxval-u Supermart - Navua,"62",Dairy,"6204",Cheese,"15.0000","113.1651","92.2320","20.9331","18.4900","02/01/2022"
531,Maxval-u Supermart - Ba,"62",Dairy,"6204",Cheese,"15.0000","86.3211","68.2550","18.0661","20.9200","06/01/2022"
511,MHCC Level 2 Homemaker,"25",Homeware,"2507",Kitchen Gadgets,"2.0000","24.0366","10.8180","13.2186","54.9900","05/01/2022"
513,Maxval-u Nausori,"26",China And Glassware,"2606",Storers,"3.0000","13.3486","6.9870","6.3616","47.6500","02/01/2022"
521,Maxval-u Supermart - Hypermarket,"25",Homeware,"2507",Kitchen Gadgets,"47.0000","159.1745","118.9620","40.2125","25.2600","05/01/2022"
551,MH  Superfresh,"61",Supermarket (Non-Food),"6105",Electrical,"3.0000","8.3487","6.2800","2.0687","24.7700","03/01/2022"
581,Maxval-u Supermart - Valelevu,"25",Homeware,"2507",Kitchen Gadgets,"7.0000","14.7707","8.1170","6.6537","45.0400","03/01/2022"
513,Maxval-u Nausori,"61",Supermarket (Non-Food),"6154",Adult Diaper,"3.0000","35.6422","27.3020","8.3402","23.3900","02/01/2022"
551,MH  Superfresh,"61",Supermarket (Non-Food),"6154",Adult Diaper,"5.0000","71.3303","49.2910","22.0393","30.8900","05/01/2022"
578,MH Levuka,"61",Supermarket (Non-Food),"6108",Cooking Requirements,"24.0000","907.1835","856.5010","50.6825","5.5800","07/01/2022"
513,Maxval-u Nausori,"61",Supermarket (Non-Food),"6154",Adult Diaper,"3.0000","35.6422","27.3020","8.3402","23.3900","01/01/2022"
513,Maxval-u Nausori,"25",Homeware,"2501",Bowls & Basins,"1.0000","12.7982","8.5000","4.2982","33.5800","07/01/2022"
527,Maxval-u Supermart - Navua,"69",Alcoholic Beverage,"6902",Local Spirits,"3.0000","74.1743","70.0080","4.1663","5.6100","05/01/2022"
513,Maxval-u Nausori,"61",Supermarket (Non-Food),"6108",Cooking Requirements,"2.0000","84.8440","78.5600","6.2840","7.4000","04/01/2022"
531,Maxval-u Supermart - Ba,"58",Food,"5827",Desserts,"10.0000","49.0826","32.4830","16.5996","33.8100","04/01/2022"
517,Maxval-u Supermart - Flagstaff,"58",Food,"5827",Desserts,"9.0000","49.1284","32.1210","17.0074","34.6100","02/01/2022"
527,Maxval-u Supermart - Navua,"58",Food,"5827",Desserts,"42.0000","215.6881","140.4400","75.2481","34.8800","01/01/2022"
523,Maxval-u Supermart - Sigatoka,"69",Alcoholic Beverage,"6901",Imported Spirits,"14.0000","290.2293","189.7760","100.4533","34.6100","01/01/2022"
524,Maxval-u Supermart - Namaka,"61",Supermarket (Non-Food),"6154",Adult Diaper,"11.0000","130.6880","99.1180","31.5700","24.1500","01/01/2022"
564,Maxval-u Supermart - Lami,"59",Media News,"5901",Daily Paper,"12.0000","11.9266","10.8220","1.1046","9.2600","06/01/2022"
561,Maxval-u Supermart - Naulu,"61",Supermarket (Non-Food),"6108",Cooking Requirements,"3.0000","100.7523","97.4430","3.3093","3.2800","04/01/2022"
542,Maxval-u Supermart - Premium Savusavu,"31",Gift & Occasion,"3101",Gift Wrapping,"10.0000","9.6330","6.3900","3.2430","33.6600","02/01/2022"
551,MH  Superfresh,"68",Delicatessen,"6808",Preseved Olive / Vegetables,"0.3940","8.2110","6.9390","1.2720","15.4900","04/01/2022"
523,Maxval-u Supermart - Sigatoka,"62",Dairy,"6204",Cheese,"2.0000","8.2660","6.6510","1.6150","19.5300","05/01/2022"
561,Maxval-u Supermart - Naulu,"61",Supermarket (Non-Food),"6108",Cooking Requirements,"7.0000","296.9541","278.9110","18.0431","6.0700","05/01/2022"
513,Maxval-u Nausori,"59",Media News,"5901",Daily Paper,"4.0000","3.9449","3.5800","0.3649","9.2400","05/01/2022"
524,Maxval-u Supermart - Namaka,"58",Food,"5816",Salad Dressings,"11.0000","28.7156","19.1060","9.6096","33.4600","01/01/2022"
